genres,sentiment,count
"Action & Adventure, Art House & International, Drama, Romance",Negative,62
"Action & Adventure, Art House & International, Drama, Romance",Neutral,55
"Action & Adventure, Art House & International, Drama, Romance",Positive,173
"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Negative,150
"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Neutral,79
"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Positive,333
"Action & Adventure, Art House & International, Drama, Special Interest",Negative,61
"Action & Adventure, Art House & International, Drama, Special Interest",Neutral,37
"Action & Adventure, Art House & International, Drama, Special Interest",Positive,145
"Action & Adventure, Art House & International, Drama, Sports & Fitness",Negative,8
"Action & Adventure, Art House & International, Drama, Sports & Fitness",Neutral,3
"Action & Adventure, Art House & International, Drama, Sports & Fitness",Positive,17
"Action & Adventure, Art House & International, Drama, Western",Negative,4
"Action & Adventure, Art House & International, Drama, Western",Neutral,2
"Action & Adventure, Art House & International, Drama, Western",Positive,6
"Action & Adventure, Art House & International, Drama, Western, Romance",Negative,15
"Action & Adventure, Art House & International, Drama, Western, Romance",Neutral,2
"Action & Adventure, Art House & International, Drama, Western, Romance",Positive,43
"Action & Adventure, Art House & International, Horror",Negative,7
"Action & Adventure, Art House & International, Horror",Neutral,6
"Action & Adventure, Art House & International, Horror",Positive,9
"Action & Adventure, Art House & International, Horror, Musical & Performing Arts, Mystery & Suspense",Neutral,1
"Action & Adventure, Art House & International, Horror, Musical & Performing Arts, Mystery & Suspense",Positive,4
"Action & Adventure, Art House & International, Horror, Mystery & Suspense",Negative,48
"Action & Adventure, Art House & International, Horror, Mystery & Suspense",Neutral,24
"Action & Adventure, Art House & International, Horror, Mystery & Suspense",Positive,74
"Action & Adventure, Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",Negative,4
"Action & Adventure, Art House & International, Horror, Mystery & Suspense, Science Fiction & Fantasy",Positive,7
"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Negative,80
"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Neutral,31
"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Positive,122
"Action & Adventure, Art House & International, Kids & Family",Negative,4
"Action & Adventure, Art House & International, Kids & Family",Positive,19
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",Negative,2
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",Neutral,5
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",Positive,16
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy, Romance",Negative,16
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy, Romance",Neutral,6
"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy, Romance",Positive,22
